Timestamp,Device,Action
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:19:01,led1,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:13,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:14,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 06:23:15,led2,ON
2025-06-19 07:17:56,led1,ON
2025-06-19 07:17:56,led1,ON
2025-06-19 07:17:56,led1,ON
2025-06-19 07:17:56,led1,ON
